malware_domain,phishtank,alexatop,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,zonefiles_tld,domain_age,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.046304598,0,TRUE,FALSE,0.6,FALSE,0.058385093,0.054196081,0.023376623,FALSE,0.583333333,ciobulletin.net,schoolbulletinboards.net
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.046304598,0,TRUE,FALSE,0.6,FALSE,0.058385093,0.054196081,0.023376623,FALSE,0.583333333,ciobulletin.net,schoolbulletinboards.net
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.549909224,0,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.875,2898.com,1898.com
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.549909224,0,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.875,2898.com,1898.com
FALSE,FALSE,FALSE,0.6,0.16851665,0.063271817,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.481481481,wearetechtonic.com,www.microtechscientific.com
FALSE,FALSE,FALSE,0.6,0.16851665,0.063271817,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.481481481,wearetechtonic.com,www.microtechscientific.com
FALSE,FALSE,FALSE,0.6,0.6,0.07451051,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,0.038961039,FALSE,0.545454545,walesonline.co.uk,www.makemyblinds.co.uk
FALSE,FALSE,FALSE,0.6,0.6,0.07451051,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,0.038961039,FALSE,0.545454545,walesonline.co.uk,www.makemyblinds.co.uk
FALSE,FALSE,FALSE,0.6,0.331987891,0.030373623,0.6,TRUE,FALSE,0.5,FALSE,0.058385093,0.054196081,0.467532468,FALSE,0.8,streamstore.net,streamtape.net
FALSE,FALSE,FALSE,0.6,0.331987891,0.030373623,0.6,TRUE,FALSE,0.5,FALSE,0.058385093,0.054196081,0.467532468,FALSE,0.8,streamstore.net,streamtape.net
FALSE,FALSE,FALSE,0.6,0.6,0.118144334,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,0.023376623,FALSE,0.5,www.gov.cn,www.jzcj.sh.cn
FALSE,FALSE,FALSE,0.6,0.6,0.118144334,0.6,TRUE,FALSE,0.5,FALSE,0.6,2.44E-09,0.023376623,FALSE,0.5,www.gov.cn,www.jzcj.sh.cn
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.056670589,0,TRUE,FALSE,0.3,FALSE,0.01863354,0.042385402,0.935064935,FALSE,0.48,torproject.org,www.storycorpsconnect.org
FALSE,FALSE,FALSE,0.097315436,0.272452069,0.056670589,0,TRUE,FALSE,0.3,FALSE,0.01863354,0.042385402,0.935064935,FALSE,0.48,torproject.org,www.storycorpsconnect.org
FALSE,FALSE,FALSE,1.326621924,0.413723512,0.050058914,0.6,TRUE,FALSE,0.6,3.96,0.060869565,0.626499559,0.023376623,FALSE,0.692307692,kimsufi.com,komasushi.com
FALSE,FALSE,FALSE,1.326621924,0.413723512,0.050058914,0.6,TRUE,FALSE,0.6,3.96,0.060869565,0.626499559,0.023376623,FALSE,0.692307692,kimsufi.com,komasushi.com
FALSE,FALSE,FALSE,0.161073826,0.031281534,0.064225259,0.122601732,TRUE,FALSE,0.7,FALSE,0.01863354,0.042385402,0.023376623,FALSE,0.476190476,urbanfile.org,www.baldwinsville.org
FALSE,FALSE,FALSE,0.161073826,0.031281534,0.064225259,0.122601732,TRUE,FALSE,0.7,FALSE,0.01863354,0.042385402,0.023376623,FALSE,0.476190476,urbanfile.org,www.baldwinsville.org
FALSE,FALSE,FALSE,0.3098434,0.066599395,0.05187354,0.6,TRUE,FALSE,0.3,FALSE,0.01863354,0.042385402,0.023376623,FALSE,0.545454545,k-9angelsrescue.org,www.ggbassetrescue.org
FALSE,FALSE,FALSE,0.3098434,0.066599395,0.05187354,0.6,TRUE,FALSE,0.3,FALSE,0.01863354,0.042385402,0.023376623,FALSE,0.545454545,k-9angelsrescue.org,www.ggbassetrescue.org
FALSE,FALSE,FALSE,0.6,0.6,0.050860323,0.6,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.684210526,rondoniatual.com,londonairtravel.com
FALSE,FALSE,FALSE,0.6,0.6,0.050860323,0.6,TRUE,FALSE,0.5,FALSE,0.060869565,0.626499559,0.023376623,FALSE,0.684210526,rondoniatual.com,londonairtravel.com
FALSE,FALSE,FALSE,0.6,0.437941473,0.197843543,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,0.036363636,FALSE,0.705882353,hajdefestival.com,qixifestival.com
FALSE,FALSE,FALSE,0.6,0.437941473,0.197843543,0.6,TRUE,FALSE,0.7,FALSE,0.060869565,0.626499559,0.036363636,FALSE,0.705882353,hajdefestival.com,qixifestival.com
