domain,resolves
nbrmungojjggt.bid,False
emegbthex.bid,False
yeonenukejm.bid,False
lijopsda09.org,True
rmdzbqggjskv.com,False
qwqqliynxufj.com,False
egzlqkjhm.bid,False
dgbhmpumhxy.bid,False
rbnicxyh.bid,False
zcqaztillrmmqu.bid,False
rampackshop.com.br,False
pagecloud.com,True
randomizedsoulz.com,False
rtxunghyiwiq.com,False
rimct.com,True
rsvxipjqyvfs.com,False
gbnwjjxb.bid,False
yxghdgwi.bid,False
ruzttiecdedv.com,False
deloplen.com,True
r8nu86wg.me,False
peggziuzk.bid,False
yrvrppewe.bid,False
clomggnzxsyf.bid,False
web-prod-3fab4a-1499954829-1392918184.eu-west-1.elb.amazonaws.com,True
rigtec.biz,False
mdgupvvdjpafyl.bid,False
panelfretbbuiewnwdkhjg888333.com.tw,True
rnyuhkbucgun.com,False
sgy.ru,False
jzxlkhaugzuaqm.bid,False
sherwoodcommunityclassifieds.com,False
anasjdzutdmv.com,False
gemius.pl,True
dueybqnkkhzdh.bid,False
jqdfakgwsxvccl.bid,False
mlrocrzhrgbyi.bid,False
dodegomxh.bid,False
nvwpybcjpzohoz.bid,False
kwovwwkevyu.bid,False
uuacjdostjloa.bid,False
ronaldyeihom.net,False
reservedoffers.club,False
umjdbaog.bid,False
uaclvtrcno.bid,False
lxyjnqpbk.bid,False
eunysqxppf.bid,False
jinanlingshi.com,False
gynhbuspeiud.bid,False
sillyjayzero.crabdance.com,True
thescarts.name,True
0aqpqdju.me,False
insane.ir,False
pixietoon.com,True
tjkckpytpnje.com,True
jotformeu.com,True
jijcetagjfzo.com,False
niematego.tk,True
azqmmfhmfnpsvb.bid,False
siteverification.site,False
qzadueyzyto.bid,False
littjohnwilhap.ru,False
hnuhqaslqaqtb.bid,False
avditmiohvtq.bid,False
aubrythgmge.bid,False
chadikaysora.com,False
joqpatxugyug.com,False
polettishirts.ro,True
jmbhyqijqhxk.com,True
instantconfirm.com,True
insight.gm,True
hhdbbixxs.bid,False
sitey.me,False
tgdlekikqbdc.com,False
thanhdatconstruction.com,True
advlrtr1.com,False
eduardodev.com,True
skemvideo10.co.uk,True
webmailupgrade.pw,False
webdata.x10.mx,False
webmine.cz,True
uvffdmlqwmha.com,False
vagttuyfeuij.com,False
waterfilter.in.ua,True
web.servebeer.com,True
rioamazonas.ru,True
sailznsgbygz.com,False
secessie.nu,True
9553.com,True
fhzgapsfnlsvx.bid,False
ekdamsibldrg.bid,False
www.linaoxue.com,False
webmailboxcleanup.form2pay.com,True
avualrhg9p.bid,False
autoescuelaalba.com,True
mail2webmaster.com,True
rbuowrinsjsx.com,False
vostok-consult.ru,True
aggntknflhal.com,False
webmail-upgrade.pw,False
webmailu.pw,False
weekwkbulvsy.com,False
vl8c4g7tmo.me,False
wglbionuopeh.com,False
urpscavikbyv.com,False
us-east-1.route-1.000webhost.awex.io,True
ahwjxktemuyz.com,False
anvskelwpvvmtg.bid,False
pkucwwgcnuxzo.bid,False
www.strbrst.net,True
asvoxod.ru,False
aservices.party,False
8jd2lfsq.me,False
rpslkvzymrddjp.bid,False
qhlwqzntlwvbf.bid,False
vg02h8z1ul.me,False
savefresh.ru,True
wtxoicsjxbsj.com,False
anyfiles.ovh,False
aotrcqegtfhlaw.bid,False
qzcpotzdkfyn.com,False
ariodtalk.com,True
www.kokko-art.com.pl,False
adfpkxvaqeyj.com,False
kmveerigfvyy.com,False
hubvotrpjios.com,True
wpvvlwprfbtm.com,False
asmanijadu.com,False
raossycpodtr.bid,False
cryptown.netlify.com,True
royalsparktrading.com,False
witthethim.com,False
asiansexyshemales.com,True
ait7ee.win,False
aclsqdpgeaik.com,False
smjdypbxapigu.bid,False
qsknevegg.bid,False
architettoandreoni.it,True
lqw.me,True
sagukjshgifebs.bid,False
qqztmozc.bid,False
www.amzonmoney.com,False
synchro.ignorelist.com,True
anysnare.us,True
livelyoffers.club,False
arxerlxllv.bid,False
aqkujuggztyn.bid,False
apwtlkkd.bid,False
babybees.vn,True
avalancheclub.ro,False
barflyghlcdj.website,False
tocotlkfjo.bid,False
ammqwpksb.bid,False
tdxqgpfkiye.bid,False
tdgysmmdru.bid,False
rhhhbdhxpmrral.bid,False
nvcwvcmwdjgjyu.bid,False
mrvzisfsrvs.bid,False
94782.8b.io,True
freecontent.com,True
xicuxxferbnn.com,False
xiaoji001.com,True
amhpbhyxfgvd.com,True
bjorksta.men,False
blog.cat,True
ihriduffgkel.com,False
oickwqmwerbnq.bid,False
atvforum.ro,True
wp-monero-miner.de,True
bgpxrwjrbsjb.com,False
iisl7wpf.me,False
tnbgycckfv.bid,False
apmkcdsnv.bid,False
amjbzzicysu.bid,False
tdsnpnyg.bid,False
xcukrfpchsxn.com,False
analytics.blue,True
bajto.pl,False
www.undefined-crew.co.cc,True
www.soucker.com,True
iijmodcvlwfk.com,False
aqtnrnuhqfaf.bid,False
ampnkoudpnd.bid,False
tefwraudu.bid,False
tdrmyefiig.bid,False
tckmsixzb.bid,False
ihtatthazitg.bid,False
balkonyrai.ru,True
coinhiv.com,False
tlnrlrsquvcx.bid,False
swfqsfewk.bid,False
boardstallrack.com,False
