Label,Domain_score,Domain_name,DomainToolRegistrars,knujon,DomainNameEntropy,registrar_prices,ttlRisk,spamhausTld,domain_age,AlexaLevSim
maleware,6.333333333,amazon.co.uk.security-check.ga,0.6,0.6,0.085721917,0.6,0.7,0.313043478,0.5,0.529411765
maleware,5.777777778,autosegurancabrasil.com,0.6,0.6,0.044780858,0.6,0.7,0.060869565,0.5,0.652173913
maleware,6.222222222,dadossolicitado-antendimento.sad879.mobi,0.6,0.6,0.251968522,0.6,0.7,0.033540373,0.5,0.636363636
maleware,6.333333333,hitnrun.com.my,0.6,0.6,0.052070117,0.6,0.7,0.6,0.5,0.666666667
maleware,5.444444444,maruthorvattomsrianjaneyatemple.org,0.6,0.6,0.06672094,0.6,0.7,0.01863354,0.5,0.4
maleware,7,paypalsecure-2016.sucurecode524154241.arita.ac.tz,0.6,0.6,0.391923075,0.6,0.7,0.6,0.5,0.727272727
maleware,5.555555556,tei.portal.crockerandwestridge.com,0.161073826,0.031281534,0.054713546,0.122601732,0.7,0.060869565,0.5,0.565217391
maleware,5.888888889,tonyyeo.com,0.6,0.6,0.044214347,0.6,0.7,0.060869565,0.5,0.727272727
maleware,5.888888889,update-apple.com.betawihosting.net,0.6,0.6,0.059933027,0.6,0.7,0.058385093,0.5,0.65
maleware,6.555555556,usaa.com-sec-inet-auth-logon-ent-logon-logon-redirectjsp.chrischadwick.com.au,0.6,0.6,0.076506832,0.6,0.7,0.6,0.5,0.65
maleware,6.333333333,windrushvalleyjoinery.co.uk,0.6,0.6,0.089282205,0.6,0.7,0.6,0.5,0.518518519
maleware,6.333333333,yhiltd.co.uk,0.6,0.6,0.061677446,0.6,0.6,0.6,0.5,0.75
maleware,5.333333333,dicrophani.com,0.412751678,0.065590313,0.047598326,0.729644717,0.7,0.060869565,0.5,0.642857143
maleware,5.888888889,airtyrant.com,0.6,0.6,0.043581773,0.6,0.7,0.060869565,0.5,0.714285714
maleware,5.777777778,dionneg.com,0.6,0.457114026,0.040813518,0.6,0.7,0.060869565,0.5,0.727272727
maleware,6.222222222,vipprojects.cn,0.6,0.6,0.073226387,0.6,0.7,0.288198758,0.5,0.666666667
maleware,6.444444444,hhj3.cn,0.6,0.6,0.185295131,0.6,0.6,0.288198758,0.5,0.714285714
maleware,5.888888889,hryspap.cn,0.6,0.6,0.049941493,0.6,0.6,0.288198758,0.5,0.6
maleware,5.888888889,iebar.t2t2.com,0.6,0.6,0.090023306,0.6,0.7,0.060869565,0.5,0.571428571
maleware,6,bakuzbuq.ru,0.6,0.6,0.192596049,0.6,0.7,0.034782609,0.5,0.545454545
maleware,5.888888889,ksdiy.com,0.6,0.6,0.059322372,0.6,0.7,0.060869565,0.5,0.777777778
maleware,5.555555556,tourindia.in,0.6,0.6,0.033890431,0.6,0.7,0.028571429,0.5,0.75
maleware,6.555555556,appprices.com,0.097315436,0.272452069,0.037591453,0,0.7,0.060869565,0.5,0.846153846
maleware,5.888888889,ccjbox.ivyro.net,0.6,0.6,0.124229499,0.6,0.7,0.058385093,0.5,0.5
maleware,5.777777778,golfsource.us,0.6,0.6,0.048397262,0.6,0.7,0.053416149,0.5,0.625
maleware,5.333333333,greenculturefoundation.org,0.6,0.6,0.051151119,0.6,0.6,0.01863354,0.5,0.678571429
maleware,5.666666667,gavih.org,0.6,0.6,0.049212987,0.6,0.7,0.01863354,0.5,0.7
maleware,5.777777778,globalnursesonline.com,0.6,0.6,0.042285622,0.6,0.7,0.060869565,0.5,0.681818182
maleware,5.222222222,gsiworld.neostrada.pl,0.6,0.6,0.047537958,0.6,0.7,0.007453416,0.5,0.476190476
maleware,5.444444444,guyouellette.org,0.6,0.6,0.039665796,0.6,0.7,0.01863354,0.5,0.5
maleware,6.333333333,tinypic.info,0.6,0.072653885,0.054270356,0.821765585,0.7,0.093167702,0.5,1
maleware,5.777777778,czbaoyu.com,0.161073826,0.031281534,0.087187236,0.122601732,0.6,0.060869565,0.5,0.727272727
maleware,5.888888889,dawnsworld.mysticalgateway.com,0.097315436,0.272452069,0.065506778,0,0.7,0.060869565,0.5,0.5
maleware,5.555555556,dccallers.org,0.6,0.6,0.039027772,0.6,0.7,0.01863354,0.5,0.692307692
maleware,6.222222222,de007.net,0.6,0.6,0.296532986,0.6,0.7,0.058385093,0.5,0.666666667
maleware,5.777777778,hecs.com,0.097315436,0.272452069,0.037837104,0,0.6,0.060869565,0.5,0.777777778
maleware,5.777777778,perugemstones.com,0.097315436,0.272452069,0.041993177,0,0.6,0.060869565,0.5,0.705882353
maleware,6.333333333,dwnloader.com,0.6,0.049445005,0.052713128,0.78538648,0.7,0.060869565,0.5,0.866666667
maleware,6.333333333,jdsemnan.ac.ir,0.6,0.6,0.061390768,0.6,0.7,0.6,0.5,0.571428571
maleware,6.444444444,la21jeju.or.kr,0.6,0.6,0.14011253,0.6,0.7,0.6,0.5,0.571428571
maleware,6.222222222,laextradeocotlan.com.mx,0.6,0.6,0.098584852,0.6,0.6,0.6,0.5,0.565217391
maleware,6.444444444,lagrotta4u.de,0.6,0.6,0.146127023,0.6,0.7,0.002484472,0.5,0.538461538
maleware,10,skottles.com,0.6,0.6,0.040956516,0.6,0.7,0.060869565,0.5,0.75
maleware,6.555555556,usb-turn-table.co.uk,0.6,0.6,0.059479099,0.122601732,0.7,0.6,0.5,0.6
maleware,5.444444444,acusticjjw.pl,0.6,0.6,0.084012705,0.6,0.7,0.007453416,0.5,0.538461538
maleware,5.888888889,reltime2012.ru,0.6,0.6,0.189660794,0.6,0.7,0.034782609,0.5,0.571428571
maleware,6.2,cpi-istanbul.com,1.326621924,0.413723512,0.055955741,0.6,0.7,0.060869565,0.5,0.65
maleware,6,creativitygap.com,0.097315436,0.272452069,0.059773113,0,0.7,0.060869565,0.5,0.705882353
maleware,5.666666667,pizzotti.net,0.6,0.39556004,0.080840779,0.415891539,0.7,0.058385093,0.5,0.666666667
maleware,6.111111111,ghidneamt.ro,0.6,0.6,0.045693299,0.6,0.7,0.002484472,0.5,0.583333333
maleware,5.111111111,hp-h.us,0.6,0.6,0.049719459,0.6,0.3,0.053416149,0.5,0.571428571
maleware,5.666666667,messenger.zango.com,0.6,0.200807265,0.065308381,0.6,0.7,0.060869565,0.5,0.684210526
maleware,6.222222222,moaramariei.ro,0.6,0.6,0.025751065,0.6,0.7,0.002484472,0.5,0.642857143
maleware,6.111111111,paul.cescon.ca,0.6,0.6,0.036912219,0.6,0.7,0.002484472,0.5,0.571428571
