tld,badness_percent,score
aarp,0.0,0.00
abb,0.0,0.00
abbott,0.0,0.00
abc,0.0,0.00
abogado,8.7,0.06
abudhabi,0.0,0.00
ac,1.7,0.01
academy,0.7,0.02
accountant,16.1,0.42
accountants,0.0,0.00
aco,0.0,0.00
actor,0.8,0.00
ad,0.0,0.00
adult,0.0,0.00
ae,0.6,0.01
aero,0.5,0.00
af,1.6,0.01
afl,0.0,0.00
africa,0.2,0.00
ag,0.5,0.00
agency,16.9,1.18
ai,0.2,0.00
airbus,0.0,0.00
airforce,0.0,0.00
airtel,0.0,0.00
al,0.5,0.00
allfinanz,0.0,0.00
alsace,0.0,0.00
am,0.9,0.02
amex,0.0,0.00
amsterdam,0.0,0.00
ao,0.0,0.00
aol,0.0,0.00
apartments,0.8,0.00
app,0.3,0.01
apple,0.0,0.00
aq,0.0,0.00
ar,0.8,0.03
archi,1.0,0.00
army,0.9,0.01
arpa,0.0,0.00
art,0.6,0.02
arte,0.0,0.00
as,0.6,0.00
asia,32.9,2.33
associates,0.7,0.00
at,0.4,0.02
attorney,0.0,0.00
au,0.3,0.02
auction,1.3,0.01
audi,0.0,0.00
audio,0.0,0.00
auto,0.0,0.00
autos,0.0,0.00
aw,0.0,0.00
aws,0.0,0.00
ax,0.0,0.00
az,0.3,0.00
azure,0.0,0.00
ba,0.5,0.00
baby,0.0,0.00
band,1.3,0.03
bank,0.0,0.00
bar,2.7,0.15
barcelona,0.0,0.00
barclays,0.0,0.00
barefoot,0.0,0.00
bargains,6.5,0.15
basketball,0.0,0.00
bayern,0.2,0.00
bb,0.0,0.00
bbt,0.0,0.00
bd,1.0,0.02
be,0.4,0.02
beer,1.3,0.02
berlin,0.1,0.00
best,8.4,0.53
bet,0.3,0.00
bf,0.0,0.00
bg,0.6,0.01
bh,0.0,0.00
bi,0.0,0.00
bible,0.0,0.00
bid,12.8,0.70
bike,8.7,0.34
bing,0.0,0.00
bingo,1.5,0.00
bio,0.5,0.01
biz,16.4,1.34
bj,4.8,0.00
black,1.2,0.02
blackfriday,0.0,0.00
blog,0.6,0.02
bloomberg,0.0,0.00
blue,5.0,0.20
bm,0.0,0.00
bmw,0.0,0.00
bn,0.0,0.00
bnpparibas,0.0,0.00
bo,0.0,0.00
boats,0.0,0.00
bostik,0.0,0.00
boston,0.0,0.00
bot,0.0,0.00
boutique,2.5,0.07
box,0.0,0.00
br,2.2,0.16
bradesco,0.0,0.00
broker,0.0,0.00
brussels,0.0,0.00
bs,2.4,0.00
bt,0.0,0.00
bugatti,0.0,0.00
build,1.5,0.01
builders,0.6,0.00
business,1.1,0.04
buzz,79.8,8.05
bw,0.0,0.00
by,0.4,0.01
bz,9.2,0.29
bzh,0.0,0.00
ca,0.4,0.02
cab,1.5,0.01
cafe,0.3,0.00
cam,24.7,1.58
camera,0.8,0.00
