registrar,domain
MarkMonitor,google.com
MarkMonitor Inc.,youtube.com
Alibaba Cloud Computing (Beijing) Co.,tmall.com
MarkMonitor Inc.,qq.com
MarkMonitor Inc.,baidu.com
MarkMonitor Inc.,sohu.com
RegistrarSafe,facebook.com
Alibaba Cloud Computing (Beijing) Co.,login.tmall.com
Alibaba Cloud Computing (Beijing) Co.,taobao.com
False,360.cn
MarkMonitor,jd.com
MarkMonitor Inc.,yahoo.com
MarkMonitor Inc.,wikipedia.org
MarkMonitor Inc.,amazon.com
Alibaba Cloud Computing (Beijing) Co.,pages.tmall.com
GoDaddy.com,zoom.us
Xiamen 35.Com Technology Co.,weibo.com
False,sina.com.cn
CSC CORPORATE DOMAINS,live.com
MarkMonitor Inc.,reddit.com
MarkMonitor Inc.,netflix.com
Regional Network Information Center,vk.com
Beijing Guoxu Network Technology Co. LTD,xinhuanet.com
MarkMonitor Inc.,microsoft.com
GoDaddy.com,okezone.com
MarkMonitor Inc.,office.com
Alibaba Cloud Computing (Beijing) Co.,alipay.com
Alibaba Cloud Computing (Beijing) Co.,csdn.net
RegistrarSafe,instagram.com
MarkMonitor Inc.,blogspot.com
False,yahoo.co.jp
MarkMonitor Inc.,myshopify.com
MarkMonitor Inc.,twitch.tv
MarkMonitor Inc.,microsoftonline.com
MARKMONITOR INC.,google.com.hk
Name.com,stackoverflow.com
PDR Ltd. d/b/a PublicDomainRegistry.com,tribunnews.com
Gabia,naver.com
Alibaba Cloud Computing (Beijing) Co.,babytree.com
MarkMonitor Inc.,bing.com
Eurodns S.A.,livejasmin.com
NAMECHEAP INC,bongacams.com
Alibaba Cloud Computing (Beijing) Co.,aliexpress.com
Xin Net Technology Corporation,zhanqi.tv
ENOM,panda.tv
False,tianya.cn
False,amazon.co.jp
MarkMonitor Inc.,ebay.com
False,china.com.cn
MarkMonitor Inc.,google.co.in
Cloudflare,chaturbate.com
CSC CORPORATE DOMAINS,apple.com
NOM-IQ Ltd dba Com Laude,adobe.com
RU-CENTER-RU,mail.ru
MarkMonitor Inc.,sogou.com
MarkMonitor Inc.,salesforce.com
CSC CORPORATE DOMAINS,twitter.com
MarkMonitor Inc.,amazon.in
False,mama.cn
MarkMonitor Inc.,msn.com
RU-CENTER-RU,ok.ru
MarkMonitor Inc.,wordpress.com
RU-CENTER-RU,yandex.ru
MarkMonitor Inc.,linkedin.com
CSL Computer Service Langenbach GmbH d/b/a joker.com,aparat.com
Eurodns S.A.,pornhub.com
MarkMonitor Inc.,dropbox.com
Alibaba Cloud Computing (Beijing) Co.,yy.com
False,google.co.jp
False,google.com.br
PDR Ltd. d/b/a PublicDomainRegistry.com,sindonews.com
NAMECHEAP INC,imgur.com
Amazon Registrar,medium.com
RegistrarSafe,whatsapp.com
MarkMonitor Inc.,imdb.com
Name.com,trello.com
DNSPod,huanqiu.com
Alibaba Cloud Computing (Beijing) Co.,detail.tmall.com
MarkMonitor Inc.,amazonaws.com
Kilat Domain,grid.id
Network Solutions,detik.com
Xiamen Chinasource Internet Service Co.,17ok.com
1&1 IONOS SE,freepik.com
False,jrj.com.cn
Alibaba Cloud Computing (Beijing) Co.,1688.com
PortsGroup AB,spotify.com
False,google.cn
Tucows Domains Inc.,fandom.com
Safenames Ltd,udemy.com
Tucows Domains Inc.,bbc.com
MarkMonitor Inc.,roblox.com
Alibaba Cloud Computing (Beijing) Co.,bilibili.com
Net-Chinese Co.,ettoday.net
False,amazon.de
CSC CORPORATE DOMAINS,cnn.com
False,google.de
GoDaddy.com,worldometers.info
Amazon.com,amazon.co.uk
Cloudflare,zoho.com
Gransy,xvideos.com
Tucows Domains Inc.,kompas.com
Net-Chinese Co.,pixnet.net
False,google.es
False,rakuten.co.jp
MarkMonitor Inc.,github.com
MarkMonitor International Limited,google.it
RU-CENTER-RU,google.ru
NAMECHEAP INC,instructure.com
British Broadcasting Corporation [Tag = BBC],bbc.co.uk
NAMECHEAP INC,discord.com
MARKMONITOR Inc.,google.fr
MarkMonitor Inc.,nytimes.com
MarkMonitor Inc.,hao123.com
MarkMonitor Inc.,etsy.com
GANDI SAS,soundcloud.com
MarkMonitor Inc.,epicgames.com
MarkMonitor Inc.,paypal.com
MarkMonitor Inc.,myway.com
CSC CORPORATE DOMAINS,walmart.com
Tucows Domains Inc.,indiatimes.com
Name.com,stackexchange.com
MarkMonitor Inc.,tumblr.com
Xiamen 35.Com Technology Co.,cnblogs.com
GoDaddy.com,flipkart.com
Key-Systems GmbH,wetransfer.com
Alibaba Cloud Computing (Beijing) Co.,yao.tmall.com
GANDI SAS,canva.com
1API GmbH,globo.com
MarkMonitor Inc.,primevideo.com
False,nih.gov
False,mercadolivre.com.br
NAMECHEAP INC,xhamster.com
GoDaddy.com,thestartmagazine.com
False,6.cn
RU-CENTER-RU,gosuslugi.ru
GoDaddy.com,youm7.com
False,uol.com.br
Markmonitor,google.com.tw
Register.com,onlinesbi.com
GANDI SAS,padlet.com
GANDI SAS,pixabay.com
GoDaddy.com,savefrom.net
MarkMonitor,google.com.mx
eName Technology Co.,so.com
CSL Computer Service Langenbach GmbH d/b/a joker.com,digikala.com
Megazone Corp.,daum.net
GoDaddy.com,theguardian.com
MarkMonitor Inc.,okta.com
Alibaba Cloud Computing (Beijing) Co.,3c.tmall.com
MarkMonitor Inc.,cnet.com
MARKMONITOR INC,google.com.sg
123-Reg Limited,ladbible.com
MarkMonitor Inc.,pinterest.com
False,gome.com.cn
MarkMonitor Inc.,slideshare.net
GoDaddy.com,grammarly.com
Amazon Registrar,liputan6.com
GoDaddy.com,zillow.com
CSC CORPORATE DOMAINS,speedtest.net
TIERRANET INC. DBA DOMAINDISCOVER,tradingview.com
MarkMonitor Inc.,vimeo.com
False,google.com.tr
GoDaddy.com,quizlet.com
Alibaba Cloud Computing (Beijing) Co.,aliyun.com
DNSPod,zhihu.com
MESH DIGITAL LIMITED,researchgate.net
GoDaddy.com,suara.com
easyDNS Technologies,archive.org
GoDaddy.com,metropoles.com
NAMECHEAP INC,mediafire.com
False,rednet.cn
GoDaddy.com,wix.com
GoDaddy.com,tokopedia.com
Markmonitor Inc. t/a MarkMonitor Inc. [Tag = MARKMONITOR],google.co.uk
ENOM,unsplash.com
GoDaddy.com,iqoption.com
MarkMonitor Inc.,bestbuy.com
MarkMonitor Inc.,craigslist.org
MarkMonitor Inc.,office365.com
MarkMonitor Inc.,forbes.com
RU-CENTER-RU,avito.ru
GoDaddy.com,investing.com
Network Solutions,wikihow.com
MarkMonitor Inc.,chase.com
MarkMonitor Inc.,163.com
GoDaddy.com,ilovepdf.com
Gandi SAS,tiktok.com
Tucows Domains Inc.,gamepedia.com
MarkMonitor Inc.,skype.com
MarkMonitor Inc.,webex.com
MarkMonitor Inc.,indeed.com
MarkMonitor International Canada Ltd.,amazon.ca
MarkMonitor Inc.,soso.com
Name.com,jianshu.com
False,nicovideo.jp
GoDaddy.com,brilio.net
GoDaddy.com,setn.com
Network Solutions,w3schools.com
PDR Ltd. d/b/a PublicDomainRegistry.com,manoramaonline.com
False,google.com.eg
CV. Jogjacamp,bukalapak.com
Amazon Registrar,healthline.com
GoDaddy.com,merdeka.com
CSC CORPORATE DOMAINS,ikea.com
MarkMonitor International Canada Ltd.,google.ca
False,google.com.sa
False,newstrend.news
CSC CORPORATE DOMAINS,ups.com
NAMECHEAP INC,duckduckgo.com
PCHOME,ltn.com.tw
Xiamen 35.Com Technology Co.,eastday.com
GoDaddy.com,godaddy.com
Alibaba Cloud Computing (Beijing) Co.,iqiyi.com
HINET,momoshop.com.tw
CSC CORPORATE DOMAINS,homedepot.com
URL SOLUTIONS INC.,itnuzleafan.com
Hogan Lovells (Paris) LLP,amazon.it
CSL Computer Service Langenbach GmbH d/b/a joker.com,namnak.com
Megazone Corp.,tistory.com
Alibaba Cloud Computing (Beijing) Co.,nvzhuang.tmall.com
MarkMonitor Inc.,mozilla.org
MarkMonitor Inc.,booking.com
GoDaddy.com,coursera.org
GoDaddy.com,kumparan.com
False,ebay.de
GoDaddy.com,telegram.org
nicar,google.com.ar
Alibaba Cloud Computing (Beijing) Co.,subject.tmall.com
DYNADOT,smallpdf.com
JIANGSU BANGNING SCIENCE & TECHNOLOGY CO. LTD,51sole.com
Gandi SAS,reverso.net
False,chouftv.ma
Alibaba Cloud Computing (Beijing) Co.,nianhuo.tmall.com
CSC CORPORATE DOMAINS,fedex.com
CSC CORPORATE DOMAINS,espn.com
False,protothema.gr
MarkMonitor Inc.,blogger.com
NET-CHINESE,ebc.net.tw
Cloudflare,zerodha.com
Moniker Online Services LLC,patch.com
Alibaba Cloud Computing (Beijing) Co.,food.tmall.com
MARKMONITOR INC,lazada.sg
Alibaba Cloud Computing (Beijing) Co.,err.tmall.com
Alibaba Cloud Computing (Beijing) Co.,list.tmall.com
MarkMonitor Inc.,googlevideo.com
HOGAN LOVELLS (PARIS) LLP,amazon.fr
Alibaba Cloud Computing (Beijing) Co.,uniqlo.tmall.com
GoDaddy.com,breitbart.com
CSC CORPORATE DOMAINS,hulu.com
MarkMonitor Inc.,force.com
MarkMonitor International Limited,redd.it
CSC CORPORATE DOMAINS,quora.com
GoDaddy.com,businessinsider.com
PDR Ltd. d/b/a PublicDomainRegistry.com,hdfcbank.com
T.H.NIC Co.,google.co.th
Nameshield SAS,dailymotion.com
RegistrarSafe,messenger.com
NIC Chile,biobiochile.cl
NOM-IQ Ltd dba Com Laude,behance.net
CSC Corporate Domains,t.co
Network Solutions,steamcommunity.com
MarkMonitor Inc.,ask.com
NIC-VE,patria.org.ve
MarkMonitor Inc.,slack.com
CSC CORPORATE DOMAINS,washingtonpost.com
NAMECHEAP INC,y2mate.com
URL SOLUTIONS INC.,itpatratr.com
GoDaddy.com,kapanlagi.com
MarkMonitor Inc.,shutterstock.com
Genious Communications SARL/AU,hespress.com
CSC CORPORATE DOMAINS,target.com
MarkMonitor Inc.,cnbc.com
Digital Registra,google.co.id
CSC CORPORATE DOMAINS,thesaurus.com
Safenames Ltd,weebly.com
NAMECHEAP INC,telewebion.com
PT Ardh Global Indonesia,idntimes.com
False,op.gg
Safenames Ltd,get-express-vpn.com
False,shaparak.ir
Network Solutions,abs-cbn.com
Key-Systems GmbH,deepl.com
Alibaba Cloud Computing (Beijing) Co.,alibaba.com
Moniker Online Services LLC,dostor.org
Safenames Ltd,sciencedirect.com
False,google.pl
Network Solutions,ndtv.com
False,amazon.cn
MarkMonitor Inc.,foxnews.com
MarkMonitor Inc.,box.com
Network Solutions,heavy.com
False,amazon.es
MarkMonitor Inc.,line.me
GoDaddy.com,albawabhnews.com
CSC CORPORATE DOMAINS,asos.com
MarkMonitor,mercadolibre.com.mx
RU-CENTER-RU,sberbank.ru
Corporation Service Company,allegro.pl
False,gmw.cn
PSI-USA,bet9ja.com
NAMECHEAP INC,aminoapps.com
1&1 IONOS SE,flaticon.com
MarkMonitor Inc.,mercari.com
Gandi SAS,scribd.com
Gandi SAS,xnxx.com
Key-Systems GmbH,51.la
Net 4 India Limited,irctc.co.in
GoDaddy.com,t.me
Nom-IQ Limited t/a Com Laude [Tag = NOMIQ],dailymail.co.uk
Network Solutions,icicibank.com
BigRock Solutions Ltd.,hotstar.com
False,ca.gov
GoDaddy.com,wixsite.com
